Compteur,Numéro de carte,Catégorie(s),Nom de la carte une ligne,Nom carte ligne 1 sur 2,Nom carte ligne 2 sur 2,Trait,Nom du trait une ligne,Nom du trait ligne 1 sur 2,Nom du trait ligne 2 sur 2,Edition,Type(s),Symbole(s),Valid. Cout,Cout catégorie 1,Cout catégorie 2,Type catégorie cout 1,Type catégorie cout 2,+1 SPECIAL,Niveau,@Adresse étoile,@Adresse fond de carte,@Adresse cout 1,@Adresse cout 2,@Adresse illustration 1,@Adresse illustration 2,Dégats Allié,Séparateur Slash,Vie Allié,NBCAR,Description Automatic Size,Correction contributeur 1,Correction contributeur 2,Correction contributeur 3,Correction contributeur 4,Correction contributeur 5,Correction contributeur 7,Correction contributeur 8,Correction contributeur 9,Correction contributeur 10
11,FR-PE-011,Perception,,RAFALE DE,FUSIL D'ASSAUT,,,,,Edition Beta,Attaque / Arme à Feu / Fusil d'Assaut / Distance / Deux Mains,,Validé,1,2,Perception,SPECIAL,,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil1.png,,,,,,"Fiable, polivalent, efficace ! Rien  ne vaut un Fusil d'Assaut  ! ATTAQUE : PERCEPTION x1. CIBLAGE.",,,,,,,,,
12,FR-PE-012,Perception,,RAFALE DE,FUSIL D'ASSAUT,,,,,Edition Beta,Attaque / Arme à Feu / Fusil d'Assaut / Distance / Deux Mains,,Validé,2,3,Perception,SPECIAL,,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil1.png,,,,,,"Fiable, polivalent, efficace ! Rien  ne vaut un Fusil d'Assaut  ! ATTAQUE : PERCEPTION x2. CIBLAGE.",,,,,,,,,
13,FR-PE-013,Perception,,RAFALE DE,FUSIL D'ASSAUT,,,,,Edition Beta,Attaque / Arme à Feu / Fusil d'Assaut / Distance / Deux Mains,,Validé,3,4,Perception,SPECIAL,,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil1.png,,,,,,"Fiable, polivalent, efficace ! Rien  ne vaut un Fusil d'Assaut  ! ATTAQUE : PERCEPTION x3. CIBLAGE.",,,,,,,,,
14,FR-PE-014,Perception,,TIR SOUTENU DE,FUSIL D'ASSAUT,,,,,Edition Beta,Attaque / Arme à Feu / Fusil d'Assaut / Distance / Deux Mains,,Validé,1,3,Perception,SPECIAL,,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil2.png,,,,,,"Fiable, polivalent, efficace ! Rien  ne vaut un Fusil d'Assaut  ! ATTAQUE : PERCEPTION x1. CIBLAGE. Plus 4 chances de réussir un Coup Critique (Soit environ 20%).",,,,,,,,,
15,FR-PE-015,Perception,,TIR SOUTENU DE,FUSIL D'ASSAUT,,,,,Edition Beta,Attaque / Arme à Feu / Fusil d'Assaut / Distance / Deux Mains,,Validé,2,4,Perception,SPECIAL,,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil2.png,,,,,,"Fiable, polivalent, efficace ! Rien  ne vaut un Fusil d'Assaut  ! ATTAQUE : PERCEPTION x2. CIBLAGE. Plus 4 chances de réussir un Coup Critique (Soit environ 20%).",,,,,,,,,
16,FR-PE-016,Perception,,TIR SOUTENU DE,FUSIL D'ASSAUT,,,,,Edition Beta,Attaque / Arme à Feu / Fusil d'Assaut / Distance / Deux Mains,,Validé,3,5,Perception,SPECIAL,,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil2.png,,,,,,"Fiable, polivalent, efficace ! Rien  ne vaut un Fusil d'Assaut  ! ATTAQUE : PERCEPTION x3. CIBLAGE. Plus 4 chances de réussir un Coup Critique (Soit environ 20%).",,,,,,,,,
17,FR-PE-017,Perception,,TIR PRÉCIS DE,FUSIL D'ASSAUT,,,,,Edition Beta,Attaque / Arme à Feu / Fusil d'Assaut / Distance / Deux Mains,,Validé,1,5,Perception,SPECIAL,,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil3.png,,,,,,"Fiable, polivalent, efficace ! Rien  ne vaut un Fusil d'Assaut  ! ATTAQUE : PERCEPTION x1. CIBLAGE. L'ATTAQUE est toujours un Coup Critique.",,,,,,,,,
18,FR-PE-018,Perception,,TIR PRÉCIS DE,FUSIL D'ASSAUT,,,,,Edition Beta,Attaque / Arme à Feu / Fusil d'Assaut / Distance / Deux Mains,,Validé,2,8,Perception,SPECIAL,,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil3.png,,,,,,"Fiable, polivalent, efficace ! Rien  ne vaut un Fusil d'Assaut  ! ATTAQUE : PERCEPTION x2. CIBLAGE. L'ATTAQUE est toujours un Coup Critique.",,,,,,,,,
19,FR-PE-019,Perception,,TIR PRÉCIS DE,FUSIL D'ASSAUT,,,,,Edition Beta,Attaque / Arme à Feu / Fusil d'Assaut / Distance / Deux Mains,,Validé,3,12,Perception,SPECIAL,,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil3.png,,,,,,"Fiable, polivalent, efficace ! Rien  ne vaut un Fusil d'Assaut  ! ATTAQUE : PERCEPTION x3. CIBLAGE. L'ATTAQUE est toujours un Coup Critique.",,,,,,,,,
20,FR-PE-020,Perception,,CHASSIS D'A.A.,DE PERCEPTION,,,,,Edition Beta,Objet / Armure / Armure Assistée / Chassis,,,1,3,Perception,SPECIAL,,1,\Etoiles positionnées\Etoile seule.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Chassis-aa.png,,,,,,"Placez ce Chassis d'Armure Assistée engagé dans la Zone d'Équipement. CARTE ENGAGÉE : Pendant votre tour, payez son cout pour équiper et désengager toutes les pièces d'Armures Assistées dans la Zone d'Équipement, engagez toutes les pièces qui ne sont pas des Armures Assistées. CARTE DÉSENGAGÉE : Pendant votre tour, vous pouvez engager gratuitement pour déséquiper ; considérez que vous avez 1 Point supplémentaire de l'Attribut de cette carte lors des calculs ; permet d'équiper des pièces d'Armure Assistée ; cette pièce est protégée de toute agression du moment qu'il y a une autre pièce d'Armure Assistée équipée ; vous obtenez EN DÉFENSE tant que vous n'avez pas de Réacteur à Fusion. Lorsque le Chassis est déséquipé, vous pouvez équiper gratuitement autant de pièce d'Armure qu'il y en a dans votre Zone d'Équipement.",,,,,,,,,
21,FR-PE-021,Perception,,SABOTAGE AU,FUSIL DE SNIPER,,,,,Edition Beta,Action / Arme à Feu / Fusil de Sniper / Distance / Deux Mains,,,1,11,Perception,SPECIAL,,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Sniper.png,,,,,,"Ciblez une pièce d'Armure dans la Zone d'Équipement d'un joueur. Si elle est engagée, détruisez la, si elle ne l'était pas, elle est simplement défaussée. Cette Action est considérée comme une ATTAQUE par les cartes Réaction et les Traits.",,,,,,,,,
22,FR-PE-022,Perception,,SABOTAGE AU,FUSIL DE SNIPER,,,,,Edition Beta,Action / Arme à Feu / Fusil de Sniper / Distance / Deux Mains,,,2,10,Perception,SPECIAL,,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Sniper.png,,,,,,"Ciblez un Objet devant un joueur. Si elle est engagée, détruisez la, si elle ne l'était pas, elle est simplement défaussée. Cette Action est considéré comme une ATTAQUE par les cartes Réaction et les Traits.",,,,,,,,,
23,FR-PE-023,Perception,,SABOTAGE AU,FUSIL DE SNIPER,,,,,Edition Beta,Action / Arme à Feu / Fusil de Sniper / Distance / Deux Mains,,,3,23,Perception,SPECIAL,,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Sniper.png,,,,,,"Ciblez 2 Objets posés devant des joueurs. Les cartes qui étaient engagées sont détruites, celles qui ne l'était pas sont simplement défaussées. Cette Action est considérée comme une ATTAQUE par les cartes Réaction et les Traits.",,,,,,,,,
24,FR-PE-024,Perception,STEALTH BOY,,,,,,,Edition Beta,Objet,,,1,8,Perception,SPECIAL,,1,\Etoiles positionnées\Etoile seule.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Stealth-boy.png,,,,,365,"Grâce au Stealth Boy 3001, devenez parfaitement invisible ! Placez ce Stealth Boy engagé dans votre Zone d'Équipement. CARTE DÉSENGAGÉE : Vous obtenez la Capacité DISCRÉTION. CARTE ENGAGÉE : Payez son cout pour désengager. ENTRETIEN : Engagez cette carte. Attention : Effets secondaires possibles en cas de mutation. La société RobCo Industries décline toutes responsabilités en cas de voyeurisme avéré.",,,,,,,,,
25,FR-PE-025,Perception,,ABRI VAULT-TEC,INACHEVÉ,,,,,Edition Beta,Quête / Attaque <OU> Objet / Abri,,,1,5,Perception,SPECIAL,,1,\Etoiles positionnées\Etoile seule.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Abri-vt-abandonné.png,,,,,,"En plus de son cout initial, vous affrontez un Griffemort qui a élu domicile dans cet Abri Vault-Tec Inachevé, subissez une attaque directe (Si vous contrez cet effet, seule l'attaque est contrée, pas la carte) vous infligeant 8 Points de Dégats (une chance de Coup Critique contre vous). Une fois la créature chassée, posez cette carte engagée dans votre Zone d'Équipement, et prenez possession des lieux, cette carte n'est plus de type Quête ni Attaque, mais Objetet Abri. CARTE ENGAGÉE : N'importe quand, payez son cout pour désengager et vous réfugier. CARTE DÉSENGAGÉE : Vous immunise vous et vos Alliés à tous les dégats et effets néfastes de vos adversaires, y compris les Frappes Nucléaires ; vous et vos Alliés ne pouvez plus attaquer ; payez son cout pour engager et sortir. ENTRETIEN : Si cette carte est désengagée, payer son cout et engagez la.",,,,,,,,,
26,FR-PE-026,Perception,-,RÉACT. À FUSION,PERCEPTION,,,,,Edition Beta,Objet / Réacteur à fusion,,,1,3,Perception,SPECIAL,,1,\Etoiles positionnées\Etoile seule.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Réacteur-à-fusion.png,,,,,,"Placez ce Réacteur à fusion dans votre Zone d'Équipement, s'il devait se vider, ou être détruit, effectuez DÉCOUVERTE x3.",,,,,,,,,
27,FR-PE-027,Perception,-,BOBBLEHEAD,PERCEPTION,,,,,Edition Beta,Action / Objet / Bobblehead,,Validé,1,2,Perception,SPECIAL,,1,\Etoiles positionnées\Etoile seule.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Bobblehead1.png,,,,,,"Cherchez dans votre Bibliothèque une Aptitude Perception, puis placez la dans votre main.",,,,,,,,,
28,FR-PE-028,Perception,,CHERCHEUR DE,BOBBLEHEAD,,,,,Edition Beta,Action / Bobblehead,,Validé,2,4,Perception,SPECIAL,,1,\Etoiles positionnées\Etoile seule.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Bobblehead2.png,,,,,,"Cherchez dans votre Bibliothèque 2 cartes Bobblehead de votre choix, vous pouvez lancer gratuitement ces cartes Bobblehead depuis votre main.",,,,,,,,,
29,FR-PE-029,Perception,-,MAGAZINE,PERCEPTION,,,,,Edition Beta,Action / Objet / Magazine,,Validé,1,2,Perception,SPECIAL,,1,\Etoiles positionnées\Etoile seule.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Mag-gb.png,,,,,,"Lisez un numéro fascinant de Guns & Bullets ! Cherchez une Aptitude Perception dans votre Bibliothèque, puis placez la dans votre main.",,,,,,,,,
30,FR-PE-030,Perception,,CHERCHEUR DE,MAGAZINE,,,,,Edition Beta,Action / Magazine,,Validé,2,4,Perception,SPECIAL,,1,\Etoiles positionnées\Etoile seule.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Chercheur-de-magazine.png,,,,,,"Cherchez dans votre Bibliothèque 2 cartes Magazine de votre choix, vous pouvez lancer gratuitement ces cartes Magazine depuis votre main.",,,,,,,,,
31,FR-PE-031,Perception,,FAIRE LE PLEIN,DE MUNITIONS,,,,,Edition Beta,Action,,,1,3,Perception,SPECIAL,,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Plein-de-munitions.png,,,,,,"Cherchez dans votre Défausse 2 cartes ATTAQUE (oui, même si elles n'utilisent pas de munition, on n'est plus à un paradoxe près !), puis placez les dans votre main.",,,,,,,,,
32,FR-PE-032,Perception,,FAIRE LE PLEIN,DE MUNITIONS,,,,,Edition Beta,Action,,,2,5,Perception,SPECIAL,,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Plein-de-munitions.png,,,,,,"Cherchez dans votre Défausse 3 cartes ATTAQUE (oui, même si elles n'utilisent pas de munition, on n'est plus à un paradoxe près !), puis placez les dans votre main.",,,,,,,,,
33,FR-PE-033,Perception,,FAIRE LE PLEIN,DE MUNITIONS,,,,,Edition Beta,Action,,,3,7,Perception,SPECIAL,,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Plein-de-munitions.png,,,,,,"Cherchez dans votre Défausse 4 cartes ATTAQUE (oui, même si elles n'utilisent pas de munition, on n'est plus à un paradoxe près !), puis placez les dans votre main.",,,,,,,,,
34,FR-PE-034,Perception,,TIR DE FUSIL,DE PRÉCISION,,,,,Edition Beta,Attaque / Arme à Feu / Fusil de Précision / Distance / Deux Mains,,Validé,1,3,Perception,SPECIAL,,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil-de-précision1.png,,,,,,"C'est le genre de flingue avec lequel on aime bien dire ""une balle, un mort"". ATTAQUE : PERCEPTION x1. CIBLAGE. PÉNÉTRANT x1.",,,,,,,,,
35,FR-PE-035,Perception,,TIR DE FUSIL,DE PRÉCISION,,,,,Edition Beta,Attaque / Arme à Feu / Fusil de Précision / Distance / Deux Mains,,Validé,2,4,Perception,SPECIAL,,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil-de-précision1.png,,,,,,"C'est le genre de flingue avec lequel on aime bien dire ""une balle, un mort"". ATTAQUE : PERCEPTION x2. CIBLAGE. PÉNÉTRANT x1.",,,,,,,,,
36,FR-PE-036,Perception,,TIR DE FUSIL,DE PRÉCISION,,,,,Edition Beta,Attaque / Arme à Feu / Fusil de Précision / Distance / Deux Mains,,Validé,3,5,Perception,SPECIAL,,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil-de-précision1.png,,,,,,"C'est le genre de flingue avec lequel on aime bien dire ""une balle, un mort"". ATTAQUE : PERCEPTION x3. CIBLAGE. PÉNÉTRANT x1.",,,,,,,,,
37,FR-PE-037,Perception,,TIR PRÉCIS DE,FUSIL DE PRÉC.,,,,,Edition Beta,Attaque / Arme à Feu / Fusil de Précision / Distance / Deux Mains,,Validé,1,4,Perception,SPECIAL,,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil-de-précision2.png,,,,,,"C'est le genre de flingue avec lequel on aime bien dire ""une balle, un mort"". ATTAQUE : PERCEPTION x1. CIBLAGE. PÉNÉTRANT x1. Plus 4 chances de réussir un Coup Critique (Soit environ 20%).",,,,,,,,,
38,FR-PE-038,Perception,,TIR PRÉCIS DE,FUSIL DE PRÉC.,,,,,Edition Beta,Attaque / Arme à Feu / Fusil de Précision / Distance / Deux Mains,,Validé,2,5,Perception,SPECIAL,,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil-de-précision2.png,,,,,,"C'est le genre de flingue avec lequel on aime bien dire ""une balle, un mort"". ATTAQUE : PERCEPTION x2. CIBLAGE. PÉNÉTRANT x1. Plus 4 chances de réussir un Coup Critique (Soit environ 20%).",,,,,,,,,
39,FR-PE-039,Perception,,TIR PRÉCIS DE,FUSIL DE PRÉC.,,,,,Edition Beta,Attaque / Arme à Feu / Fusil de Précision / Distance / Deux Mains,,Validé,3,6,Perception,SPECIAL,,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil-de-précision2.png,,,,,,"C'est le genre de flingue avec lequel on aime bien dire ""une balle, un mort"". ATTAQUE : PERCEPTION x3. CIBLAGE. PÉNÉTRANT x1. Plus 4 chances de réussir un Coup Critique (Soit environ 20%).",,,,,,,,,
40,FR-PE-040,Perception,,TIR REDOUTABLE,DE FUSIL DE PRÉC.,,,,,Edition Beta,Attaque / Arme à Feu / Fusil de Précision / Distance / Deux Mains,,Validé,1,6,Perception,SPECIAL,,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil-de-précision3.png,,,,,,"C'est le genre de flingue avec lequel on aime bien dire ""une balle, un mort"". ATTAQUE : PERCEPTION x1. CIBLAGE. PÉNÉTRANT x1. L'ATTAQUE est toujours un Coup Critique.",,,,,,,,,
41,FR-PE-041,Perception,,TIR REDOUTABLE,DE FUSIL DE PRÉC.,,,,,Edition Beta,Attaque / Arme à Feu / Fusil de Précision / Distance / Deux Mains,,Validé,2,9,Perception,SPECIAL,,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil-de-précision3.png,,,,,,"C'est le genre de flingue avec lequel on aime bien dire ""une balle, un mort"". ATTAQUE : PERCEPTION x2. CIBLAGE. PÉNÉTRANT x1. L'ATTAQUE est toujours un Coup Critique.",,,,,,,,,
42,FR-PE-042,Perception,,TIR REDOUTABLE,DE FUSIL DE PRÉC.,,,,,Edition Beta,Attaque / Arme à Feu / Fusil de Précision / Distance / Deux Mains,,Validé,3,13,Perception,SPECIAL,,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Fusil-de-précision3.png,,,,,,"C'est le genre de flingue avec lequel on aime bien dire ""une balle, un mort"". ATTAQUE : PERCEPTION x3. CIBLAGE. PÉNÉTRANT x1. L'ATTAQUE est toujours un Coup Critique.",,,,,,,,,
43,FR-PE-043,Perception,,FOUILLER DANS,LE SAC,,,,,Edition Beta,Action,,,1,3,Perception,SPECIAL,,1 sur 3,\Etoiles positionnées\Etoile 1 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Drogue-ou-nourriture.png,,,,,,"C'est fou ce qu'on peut parfois trouver quand on fouille dans ses sacs ! Cherchez dans votre Bibliothèque 2 cartes Objet, puis placez les dans votre main.",,,,,,,,,
44,FR-PE-044,Perception,,FOUILLER DANS,LE SAC,,,,,Edition Beta,Action,,,2,5,Perception,SPECIAL,,2 sur 3,\Etoiles positionnées\Etoile 2 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Drogue-ou-nourriture.png,,,,,,"C'est fou ce qu'on peut parfois trouver quand on fouille dans ses sacs ! Cherchez dans votre Bibliothèque 3 cartes Objet, puis placez les dans votre main.",,,,,,,,,
45,FR-PE-045,Perception,,FOUILLER DANS,LE SAC,,,,,Edition Beta,Action,,,3,7,Perception,SPECIAL,,3 sur 3,\Etoiles positionnées\Etoile 3 sur 3.png,\Fonds de carte assemblés\Perception-ruban.png,\Cout positionnés\P-up.png,\Cout positionnés\SPECIAL.png,\Images positionnées\Drogue-ou-nourriture.png,,,,,,"C'est fou ce qu'on peut parfois trouver quand on fouille dans ses sacs ! Cherchez dans votre Bibliothèque 4 cartes Objet, puis placez les dans votre main.",,,,,,,,,
